,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
32400,2020-08-19 09:00:00+00:00,0.90163,0.90163,0.90159,0.90163,-1,-1.0,-1,0.90172,0.90173,0.90164,0.90169,-1,-1.0,-1
36000,2020-08-19 10:00:00+00:00,0.90212,0.90212,0.90209,0.9021,-1,-1.0,-1,0.90215,0.90215,0.9021,0.90214,-1,-1.0,-1
39600,2020-08-19 11:00:00+00:00,0.90308,0.90308,0.90308,0.90308,-1,-1.0,-1,0.90312,0.90312,0.90311,0.90312,-1,-1.0,-1
43200,2020-08-19 12:00:00+00:00,0.90335,0.90339,0.90335,0.90337,-1,-1.0,-1,0.90339,0.90342,0.90339,0.90341,-1,-1.0,-1
46800,2020-08-19 13:00:00+00:00,0.90363,0.90364,0.9036,0.9036,-1,-1.0,-1,0.90366,0.90366,0.90362,0.90363,-1,-1.0,-1
50400,2020-08-19 14:00:00+00:00,0.90374,0.90378,0.90374,0.90378,-1,-1.0,-1,0.90377,0.90381,0.90377,0.90381,-1,-1.0,-1
54000,2020-08-19 15:00:00+00:00,0.90252,0.90255,0.90251,0.90252,-1,-1.0,-1,0.90254,0.90256,0.90253,0.90254,-1,-1.0,-1
57600,2020-08-19 16:00:00+00:00,0.90195,0.90201,0.90195,0.90201,-1,-1.0,-1,0.90199,0.90204,0.90198,0.90203,-1,-1.0,-1
61200,2020-08-19 17:00:00+00:00,0.90222,0.90223,0.90221,0.90221,-1,-1.0,-1,0.90224,0.90225,0.90223,0.90223,-1,-1.0,-1
64800,2020-08-19 18:00:00+00:00,0.90275,0.90275,0.90249,0.90259,-1,-1.0,-1,0.90291,0.90291,0.90278,0.90283,-1,-1.0,-1
68400,2020-08-19 19:00:00+00:00,0.90404,0.90405,0.90403,0.90403,-1,-1.0,-1,0.90409,0.9041,0.90407,0.9041,-1,-1.0,-1
72000,2020-08-19 20:00:00+00:00,0.90417,0.90418,0.90417,0.90418,-1,-1.0,-1,0.9042,0.9042,0.90419,0.90419,-1,-1.0,-1
78300,2020-08-19 22:00:00+00:00,0.9031,0.90312,0.9031,0.9031,-1,-1.0,-1,0.90348,0.90353,0.90342,0.90342,-1,-1.0,-1
81900,2020-08-19 23:00:00+00:00,0.90348,0.90349,0.90344,0.90347,-1,-1.0,-1,0.90354,0.90355,0.90352,0.90353,-1,-1.0,-1
0,2020-08-20 00:00:00+00:00,0.90345,0.90345,0.90345,0.90345,-1,-1.0,-1,0.90348,0.90352,0.90347,0.9035,-1,-1.0,-1
3600,2020-08-20 01:00:00+00:00,0.90366,0.90366,0.90363,0.90363,-1,-1.0,-1,0.9037,0.90371,0.90367,0.90367,-1,-1.0,-1
7200,2020-08-20 02:00:00+00:00,0.90415,0.90418,0.90415,0.90418,-1,-1.0,-1,0.90421,0.90424,0.9042,0.90423,-1,-1.0,-1
10800,2020-08-20 03:00:00+00:00,0.9045,0.9045,0.90445,0.90446,-1,-1.0,-1,0.90454,0.90454,0.90452,0.90452,-1,-1.0,-1
14400,2020-08-20 04:00:00+00:00,0.9039,0.9039,0.90389,0.90389,-1,-1.0,-1,0.90392,0.90392,0.90391,0.90391,-1,-1.0,-1
18000,2020-08-20 05:00:00+00:00,0.90463,0.90463,0.90461,0.90461,-1,-1.0,-1,0.90467,0.90467,0.90465,0.90465,-1,-1.0,-1
21600,2020-08-20 06:00:00+00:00,0.90483,0.90483,0.90483,0.90483,-1,-1.0,-1,0.90487,0.90489,0.90484,0.90487,-1,-1.0,-1
25200,2020-08-20 07:00:00+00:00,0.90531,0.90538,0.90531,0.90538,-1,-1.0,-1,0.90532,0.90541,0.90532,0.9054,-1,-1.0,-1
