,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
36000,2020-09-02 10:00:00+00:00,0.73478,0.73478,0.73476,0.73477,-1,-1.0,-1,0.73479,0.73479,0.73477,0.73479,-1,-1.0,-1
39600,2020-09-02 11:00:00+00:00,0.73427,0.73427,0.73425,0.73426,-1,-1.0,-1,0.73429,0.73429,0.73428,0.73428,-1,-1.0,-1
43200,2020-09-02 12:00:00+00:00,0.73338,0.73338,0.73336,0.73337,-1,-1.0,-1,0.7334,0.7334,0.73338,0.7334,-1,-1.0,-1
46800,2020-09-02 13:00:00+00:00,0.7335,0.73351,0.73345,0.73351,-1,-1.0,-1,0.73352,0.73353,0.73346,0.73353,-1,-1.0,-1
50400,2020-09-02 14:00:00+00:00,0.73068,0.73068,0.73068,0.73068,-1,-1.0,-1,0.73075,0.73075,0.73072,0.73072,-1,-1.0,-1
54000,2020-09-02 15:00:00+00:00,0.73227,0.73227,0.73226,0.73226,-1,-1.0,-1,0.73228,0.73228,0.73227,0.73227,-1,-1.0,-1
57600,2020-09-02 16:00:00+00:00,0.73188,0.73188,0.7318,0.73183,-1,-1.0,-1,0.73191,0.73191,0.73183,0.73184,-1,-1.0,-1
61200,2020-09-02 17:00:00+00:00,0.73268,0.73268,0.73268,0.73268,-1,-1.0,-1,0.73271,0.73271,0.73269,0.7327,-1,-1.0,-1
64800,2020-09-02 18:00:00+00:00,0.73223,0.73223,0.73221,0.73221,-1,-1.0,-1,0.73226,0.73227,0.73225,0.73225,-1,-1.0,-1
68400,2020-09-02 19:00:00+00:00,0.73169,0.73169,0.73163,0.73164,-1,-1.0,-1,0.73172,0.73172,0.73165,0.73167,-1,-1.0,-1
72000,2020-09-02 20:00:00+00:00,0.7333,0.7333,0.73325,0.73327,-1,-1.0,-1,0.73332,0.73333,0.73328,0.73333,-1,-1.0,-1
78300,2020-09-02 22:00:00+00:00,0.73359,0.73359,0.73355,0.73355,-1,-1.0,-1,0.7337,0.7337,0.7336,0.73365,-1,-1.0,-1
81900,2020-09-02 23:00:00+00:00,0.73364,0.73372,0.73364,0.73369,-1,-1.0,-1,0.73369,0.73377,0.73369,0.73377,-1,-1.0,-1
