,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
64800,2020-06-02 18:00:00+00:00,1.62281,1.62283,1.62275,1.6228,-1,-1.0,-1,1.62288,1.62289,1.62282,1.62287,-1,-1.0,-1
68400,2020-06-02 19:00:00+00:00,1.62191,1.62193,1.62187,1.62187,-1,-1.0,-1,1.62195,1.62195,1.62195,1.62195,-1,-1.0,-1
72000,2020-06-02 20:00:00+00:00,1.62053,1.6206,1.62053,1.62058,-1,-1.0,-1,1.62061,1.62068,1.62061,1.62064,-1,-1.0,-1
78300,2020-06-02 22:00:00+00:00,1.6212,1.6212,1.62097,1.62099,-1,-1.0,-1,1.62156,1.62156,1.62139,1.62139,-1,-1.0,-1
81900,2020-06-02 23:00:00+00:00,1.62122,1.62125,1.62116,1.62117,-1,-1.0,-1,1.62131,1.62132,1.62129,1.6213,-1,-1.0,-1
0,2020-06-03 00:00:00+00:00,1.61779,1.61782,1.61767,1.61774,-1,-1.0,-1,1.61786,1.61787,1.61777,1.61783,-1,-1.0,-1
3600,2020-06-03 01:00:00+00:00,1.60978,1.60982,1.60969,1.60969,-1,-1.0,-1,1.60993,1.60999,1.60982,1.60983,-1,-1.0,-1
7200,2020-06-03 02:00:00+00:00,1.61088,1.61092,1.61085,1.61089,-1,-1.0,-1,1.61096,1.61101,1.61096,1.61098,-1,-1.0,-1
10800,2020-06-03 03:00:00+00:00,1.61398,1.61398,1.61395,1.61398,-1,-1.0,-1,1.61406,1.61409,1.61405,1.61409,-1,-1.0,-1
14400,2020-06-03 04:00:00+00:00,1.61468,1.6148,1.61465,1.61474,-1,-1.0,-1,1.61474,1.61488,1.61467,1.61478,-1,-1.0,-1
18000,2020-06-03 05:00:00+00:00,1.61591,1.616,1.61589,1.61596,-1,-1.0,-1,1.61597,1.61607,1.61597,1.61602,-1,-1.0,-1
21600,2020-06-03 06:00:00+00:00,1.61477,1.61486,1.61475,1.61482,-1,-1.0,-1,1.61485,1.61491,1.61482,1.6149,-1,-1.0,-1
25200,2020-06-03 07:00:00+00:00,1.61676,1.61679,1.61665,1.61677,-1,-1.0,-1,1.61682,1.61682,1.61669,1.61682,-1,-1.0,-1
28800,2020-06-03 08:00:00+00:00,1.62117,1.62125,1.62109,1.62112,-1,-1.0,-1,1.6212,1.62128,1.62119,1.62122,-1,-1.0,-1
32400,2020-06-03 09:00:00+00:00,1.62714,1.62716,1.6271,1.62712,-1,-1.0,-1,1.62716,1.62721,1.62712,1.62714,-1,-1.0,-1
